type_of_images,algorithm,numFeatures,width,height,distance,run_num,run_time,temperature,rvecs[0],rvecs[1],rvecs[2],tvecs[0],tvecs[1],tvecs[2]
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,5,40.92799997329712,74,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,5,41.105000019073486,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,5,41.288999795913696,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,5,41.47099995613098,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,6,44.17700004577637,44,-37.853113108930906,4.9842226797894593,2.5221242469306655,-1.4920839922399043,1.4291357255390371,50.510769058473002
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,6,44.407999992370605,48,-39.336168743025723,3.8136617374129251,2.6389401390220395,-1.6121944379824809,1.3890741549141314,50.671803408679324
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,6,44.639999866485596,56,-39.681159510253714,1.3007912775648085,1.5185160169414531,-1.3351505369717847,1.3323518391818148,48.465837658952502
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,6,44.876999855041504,62,-37.226897995523032,3.1112119068308446,2.4191528759267453,-1.4873511448113654,1.4403702856429079,49.767098309184362
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,6,45.10899996757507,68,-38.369256207463266,3.1405933847714813,2.1930449425867176,-1.504291168143814,1.4604048520234167,49.896982259876594
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,6,45.444000005722046,74,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,6,45.70799994468689,80,31.541248688774068,-7.6344527114286,2.6282597730079154,-1.5508837189367324,1.8118927836576688,55.112493757110236
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,6,45.912999868392944,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,6,46.09999990463257,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,7,44.04800009727478,44,-39.297544279741885,6.2343391675311404,2.8636001171678549,-1.4749782052300036,1.3921454618830236,50.096644253698152
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,7,44.27800011634827,48,-39.876368126513505,7.7220708722885387,2.6547075192552572,-1.5167021824764797,1.4012994767398637,50.94324101092726
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,7,44.5,56,-39.607065686081732,2.2263350035222418,1.6257154478890288,-1.3043848219462773,1.4048398468226113,48.176580155153438
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,7,44.729000091552734,62,-38.302804862837739,1.1720604188599775,1.8725374979192586,-1.4130961422710007,1.4471766559870856,49.082950453355572
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,7,44.96799993515015,68,-36.430825406455796,1.2073561152745691,1.7133560894564297,-1.4667522122100753,1.4630026237431704,49.794434185137007
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,7,45.138999938964844,74,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,7,45.31500005722046,80,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,7,45.49399995803833,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,7,45.67900013923645,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,8,44.36500000953674,44,-41.24217751442464,9.1321107108900019,3.7420467464821403,-1.5606646009484131,1.458392006968003,50.517682394178955
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,8,44.5939998626709,48,-39.520351006311081,7.6489561961748906,2.5901446581885614,-1.5087616914225637,1.4607323641120735,51.306709186801285
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,8,44.82699990272522,56,-38.835006340670915,6.492782108103663,2.8030065653604024,-1.5048957070377307,1.4751700221934032,50.973149771499969
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,8,45.056999921798706,62,-38.712463717048671,4.5790776480927526,2.6238854880940012,-1.5487777402731682,1.3825290565418662,49.86654483834122
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,8,45.293999910354614,68,-39.09730707118969,1.1810898642037737,1.8418655439109781,-1.4676818104273113,1.4135189288406307,49.44255222355573
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,8,45.51899981498718,74,-38.811620652253083,7.2021303312529401,3.1156263098595667,-1.5863603107345927,1.3732723749637912,50.438050827284698
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,8,45.68999981880188,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,8,45.86500000953674,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,8,46.043999910354614,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,9,44.20800018310547,44,-38.058126684274896,1.7886194588672486,1.7659707158081388,-1.4323958526834175,1.4396879324325134,49.097725199483158
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,9,44.45800018310547,48,-34.779177359013154,7.6452787815834897,3.9988050662535235,-1.4599206220921848,1.5450124780226984,51.37758410791735
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,9,44.68900012969971,56,-38.912395215805688,7.5823637119485898,3.3103016074402496,-1.5835838996650384,1.4472714750948361,50.489058275860728
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,9,44.91600012779236,62,-39.309846120551988,2.7783307870367118,2.7456976456944076,-1.5580933847967571,1.3800781361660763,49.14529106362555
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,9,45.16900014877319,68,-46.277337115650873,1.6795866825403536,3.5976730818639373,-1.4389759805319984,1.6177360724391365,50.08649261847939
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,9,45.39900016784668,74,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,9,45.60000014305115,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,9,45.77400016784668,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,9,45.9539999961853,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,10,44.96300005912781,44,-36.597935291747554,4.0051784412207541,2.8869539263900212,-1.4238259186870921,1.4782150915298715,50.16896565355448
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,10,45.19000005722046,48,-38.012630207974354,1.9445055533464342,2.2673254620011924,-1.490418807850773,1.4468787204224274,49.909959973880639
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,10,45.41900014877319,56,-37.956459929232217,0.59251240083932899,1.4779728100122149,-1.4676198808986072,1.4771226851033881,50.257886617198942
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,10,45.65000009536743,62,37.037032275081508,7.4251829769378928,0.44732298572097279,-1.591853574524617,1.552288396294158,49.475136600948012
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,10,45.90900015830994,68,-37.825791574995478,0.94087193693031923,1.9061463311589715,-1.43591539119997,1.4953526625543547,49.396351090025654
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,10,46.1470000743866,74,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,10,46.319000005722046,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,10,46.575000047683716,86,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,10,46.75699996948242,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,11,44.331000089645386,44,-36.456265225198329,5.3593830204109132,3.2745206811839842,-1.4724662561862347,1.4799791992018383,50.621667385167605
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,11,44.54900002479553,48,-38.86302145053827,3.0293488186148601,2.2934157877147521,-1.4898238212533577,1.4316486821547623,48.986618007015075
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,11,44.76600003242493,56,-38.048198052719869,2.8708610290736951,2.2639483789450194,-1.4559982524178505,1.4599240758754211,48.905172146716616
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,11,45.004000186920166,62,-38.341119301664648,6.9330334722191704,3.3472760241491186,-1.5094410357628854,1.4698435579436206,50.604961764742448
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,11,45.22699999809265,68,-38.518421704645995,0.58933863120734098,1.5854534498902604,-1.5358520212035163,1.4437214692731755,50.196711957651694
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,11,45.55900001525879,74,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,11,45.72800016403198,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,11,45.90700006484985,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,11,46.08899998664856,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,12,44.36400008201599,44,-37.296087961563899,0.8996673441863452,1.5817674512858215,-1.4002465048204316,1.4920706161126758,49.236071847473909
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,12,44.586000204086304,48,-36.401247651681565,4.1678939041110477,2.8696732879089044,-1.4989302083726497,1.4924336652754469,49.966004550718942
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,12,44.8289999961853,56,-37.756881434332939,0.99390261161949434,1.9089497878636468,-1.4779832047465953,1.4449522230362544,49.747394738547065
